data,class,scenario,rssi,mcs,pc_timestamp
"[100,-64,5,0,-18,-22,-17,-19,-16,-17,-16,-16,-17,-14,-16,-13,-15,-12,-14,-11,-14,-10,-14,-9,-14,-9,-15,-9,-13,-8,-11,-7,-10,-8,-9,-8,-7,-8,-5,-7,-4,-7,-4,-7,-4,-8,-3,-8,-2,-7,-1,-6,0,-5,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,-15,-21,-14,-22,-13,-25,-11,-27,-9,-28,-6,-29,-5,-29,-3,-30,-2,-31,-1,-30,0,-29,0,-29,0,-29,0,-29,0,-29,-2,-29,-3,-28,-4,-27,-5,-27,-6,-27,-8,-27,-10,-27,-11,-26,-12,-25,-14,-26,-16,-27]",1,person_udp_30hz,-64,7,1747603040.548459
"[100,-64,5,0,18,18,16,16,16,14,15,13,15,11,14,10,13,10,13,9,12,8,11,7,11,7,10,6,9,6,8,6,8,6,7,6,6,6,5,6,4,6,4,6,4,5,3,5,2,6,0,5,-1,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,17,13,16,14,14,16,13,18,12,19,11,20,11,20,10,21,10,21,10,22,9,22,9,23,9,23,9,23,10,24,10,24,11,24,11,24,12,23,13,23,14,22,15,22,15,22,16,22,18,23,19,23]",1,person_udp_30hz,-64,7,1747603040.6084008
"[100,-64,5,0,24,-6,21,-6,20,-7,18,-7,17,-7,16,-7,15,-7,14,-7,13,-7,12,-6,11,-6,11,-6,10,-6,10,-5,9,-4,9,-4,8,-3,8,-3,8,-2,7,-1,7,-1,7,0,6,1,5,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3,18,-10,19,-8,20,-6,21,-5,21,-3,21,-2,22,-1,22,0,22,1,22,2,23,2,23,3,24,3,24,3,24,3,24,2,24,2,24,1,25,0,25,-1,25,-1,25,-2,25,-3,26,-3,27,-4,28,-5]",1,person_udp_30hz,-64,7,1747603040.6681879
"[100,-64,5,0,6,-27,5,-25,4,-23,3,-22,2,-20,2,-19,1,-18,1,-17,0,-16,0,-16,0,-15,0,-14,0,-13,0,-12,1,-11,1,-10,1,-10,1,-9,2,-9,2,-8,3,-7,3,-6,4,-5,4,-5,5,-4,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,-23,3,-23,6,-23,7,-23,9,-22,10,-22,11,-22,12,-22,13,-21,13,-21,14,-21,14,-22,15,-22,15,-22,15,-22,15,-23,14,-23,14,-24,14,-24,13,-25,12,-25,11,-26,10,-26,10,-27,10,-29,10,-31]",1,person_udp_30hz,-64,7,1747603040.720125
"[100,-64,5,0,5,25,5,22,5,21,5,19,6,18,6,16,6,16,6,15,6,14,6,13,5,12,5,11,5,10,4,10,4,10,3,9,2,9,1,8,1,8,0,7,-1,6,-1,6,-2,5,-3,5,-4,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,20,6,20,4,21,2,22,1,23,0,23,-1,23,-2,23,-3,23,-3,24,-4,24,-4,24,-4,25,-4,25,-4,26,-4,26,-4,26,-3,26,-2,26,-1,26,0,27,0,27,1,27,2,27,4,29,4,30]",1,person_udp_30hz,-64,7,1747603040.758325
"[100,-64,5,0,17,20,16,17,16,16,15,15,15,13,14,12,13,11,13,10,12,9,12,8,11,8,10,7,10,7,9,7,8,7,7,7,6,7,5,7,5,7,4,6,3,6,3,6,1,6,0,6,-1,6,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,17,13,16,15,14,17,13,18,12,19,11,20,11,21,10,21,9,22,8,22,8,23,8,24,8,24,8,25,9,25,9,25,10,24,10,24,11,24,12,24,13,24,14,24,15,23,15,23,17,24,19,25]",1,person_udp_30hz,-64,7,1747603040.818795
"[100,-64,5,0,-26,-13,-24,-11,-22,-10,-21,-9,-20,-8,-19,-7,-18,-6,-17,-5,-17,-5,-16,-4,-15,-4,-14,-4,-13,-4,-12,-4,-11,-4,-10,-4,-10,-5,-9,-5,-8,-5,-7,-5,-7,-5,-6,-6,-5,-6,-4,-6,-2,-6,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-2,-22,-7,-21,-9,-21,-11,-20,-13,-20,-14,-20,-15,-19,-16,-19,-17,-18,-18,-18,-19,-18,-19,-18,-20,-18,-20,-19,-21,-19,-21,-20,-21,-20,-20,-20,-20,-21,-19,-22,-18,-23,-18,-24,-18,-24,-17,-25,-17,-27,-17,-28,-17]",1,person_udp_30hz,-64,7,1747603040.878407
"[100,-64,5,0,-23,-16,-21,-14,-20,-13,-19,-11,-18,-10,-17,-9,-16,-8,-15,-7,-14,-7,-14,-6,-14,-6,-13,-5,-12,-5,-10,-5,-10,-5,-9,-5,-8,-5,-7,-6,-6,-6,-6,-6,-5,-6,-5,-6,-4,-6,-2,-7,-2,-7,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-3,-21,-10,-20,-11,-19,-13,-18,-15,-17,-16,-17,-17,-16,-18,-16,-19,-15,-20,-15,-20,-14,-21,-14,-21,-15,-22,-15,-22,-15,-22,-16,-22,-16,-22,-17,-22,-17,-21,-18,-21,-19,-21,-19,-20,-20,-20,-21,-20,-22,-20,-24,-20]",1,person_udp_30hz,-64,7,1747603040.9459279
"[100,-64,5,0,-27,3,-25,4,-23,5,-22,5,-21,5,-19,5,-17,5,-16,5,-15,5,-14,5,-14,5,-13,4,-12,3,-11,3,-10,3,-10,2,-9,2,-9,1,-9,0,-8,0,-8,-1,-8,-2,-7,-2,-6,-3,-5,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,-22,7,-22,5,-23,3,-24,2,-24,0,-24,-1,-25,-2,-25,-3,-25,-4,-25,-4,-26,-5,-26,-5,-26,-6,-27,-6,-27,-6,-27,-6,-27,-5,-28,-5,-28,-4,-29,-3,-29,-2,-29,-1,-29,0,-29,1,-30,2,-32,2]",1,person_udp_30hz,-64,7,1747603040.981823
"[100,-64,5,0,16,-22,14,-20,13,-19,12,-17,10,-17,9,-16,8,-16,8,-15,6,-14,6,-14,5,-13,5,-12,5,-11,5,-11,5,-10,5,-9,5,-8,5,-7,5,-7,6,-6,6,-5,6,-4,5,-3,5,-3,6,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-6,9,-20,11,-19,13,-18,14,-18,15,-17,16,-16,17,-15,18,-15,19,-14,20,-14,20,-14,21,-14,21,-14,22,-15,22,-15,22,-15,21,-16,21,-16,21,-16,21,-17,21,-18,20,-19,20,-19,19,-20,20,-22,21,-24]",1,person_udp_30hz,-64,7,1747603041.099582
"[100,-64,5,0,-17,23,-15,21,-13,20,-12,19,-11,17,-10,17,-8,16,-8,15,-7,14,-6,13,-6,13,-6,12,-6,11,-6,10,-6,9,-5,9,-5,8,-5,7,-6,6,-6,5,-6,4,-6,3,-6,3,-6,2,-7,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5,-9,21,-11,20,-13,19,-15,18,-16,18,-17,17,-18,17,-19,16,-20,16,-20,15,-21,15,-22,16,-22,16,-23,16,-23,16,-23,16,-23,17,-22,18,-22,18,-22,19,-22,19,-21,20,-20,21,-20,22,-20,24,-20,26]",1,person_udp_30hz,-64,7,1747603041.168772
"[100,-64,5,0,-20,22,-17,20,-15,20,-14,19,-13,18,-12,17,-11,16,-9,16,-8,15,-8,14,-7,13,-7,11,-7,11,-7,11,-7,10,-7,9,-6,8,-6,7,-6,6,-7,5,-7,4,-7,3,-7,2,-7,2,-8,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,5,-13,21,-15,20,-17,19,-18,18,-19,17,-20,16,-21,15,-22,14,-23,14,-24,14,-25,13,-25,13,-26,14,-26,14,-26,14,-26,15,-26,15,-26,16,-26,17,-25,18,-25,18,-24,19,-23,20,-23,21,-23,23,-24,26]",1,person_udp_30hz,-64,7,1747603041.2085881
"[100,-64,5,0,-26,-7,-23,-5,-21,-5,-21,-4,-20,-3,-18,-3,-17,-2,-16,-2,-15,-2,-14,-2,-14,-2,-13,-2,-12,-1,-11,-1,-10,-2,-9,-2,-9,-2,-8,-3,-7,-3,-7,-3,-7,-4,-6,-4,-5,-4,-3,-5,-3,-5,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,-21,-1,-21,-3,-21,-5,-21,-7,-21,-9,-21,-10,-21,-10,-20,-11,-20,-12,-20,-13,-20,-13,-21,-14,-21,-14,-22,-14,-22,-15,-22,-14,-22,-14,-23,-14,-23,-13,-24,-13,-24,-12,-24,-11,-24,-10,-25,-10,-27,-10,-29,-10]",1,person_udp_30hz,-65,7,1747603041.268374
"[100,-64,5,0,-21,17,-19,15,-17,15,-16,14,-15,13,-14,13,-13,13,-12,12,-11,12,-10,11,-9,10,-9,9,-9,9,-8,8,-8,7,-8,7,-8,6,-7,5,-7,4,-7,3,-8,2,-7,1,-7,1,-7,0,-7,0,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,-14,17,-16,16,-17,14,-19,13,-20,12,-20,11,-21,11,-22,10,-23,9,-23,9,-24,8,-24,8,-25,8,-25,9,-25,9,-25,9,-25,10,-25,10,-25,11,-25,12,-25,12,-24,13,-24,14,-24,15,-25,16,-26,18]",1,person_udp_30hz,-64,7,1747603041.328309
"[100,-64,5,0,21,17,20,14,19,13,18,12,17,11,16,9,15,9,14,8,13,7,13,6,13,5,12,5,11,5,9,5,8,5,8,5,7,5,6,5,5,6,4,5,4,5,3,5,3,6,1,6,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,20,10,19,11,18,13,17,15,17,16,16,17,15,19,14,19,14,20,14,21,14,21,14,22,14,22,14,22,14,23,14,23,14,23,16,23,16,22,17,22,18,21,18,21,19,20,21,20,22,21,24,21]",1,person_udp_30hz,-64,7,1747603041.418168
"[100,-64,5,0,-11,-26,-10,-24,-10,-22,-10,-20,-10,-19,-10,-18,-9,-16,-9,-15,-9,-14,-9,-13,-9,-12,-8,-11,-7,-11,-7,-10,-6,-10,-5,-10,-4,-9,-4,-9,-3,-9,-2,-9,-2,-8,-1,-7,0,-7,1,-7,2,-6,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,-12,-20,-10,-21,-8,-22,-7,-23,-6,-24,-4,-24,-3,-25,-2,-25,-2,-26,-1,-26,0,-26,0,-26,0,-27,0,-27,-1,-27,-2,-28,-2,-28,-2,-28,-3,-28,-4,-28,-5,-28,-6,-29,-7,-28,-8,-29,-9,-30,-10,-31]",1,person_udp_30hz,-64,7,1747603041.480205
"[100,-64,5,0,-15,23,-13,21,-11,20,-10,19,-9,18,-8,17,-8,16,-6,15,-5,15,-5,14,-5,13,-5,12,-5,11,-4,10,-4,10,-4,9,-5,8,-5,8,-5,7,-5,6,-6,5,-6,4,-6,3,-6,3,-6,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,5,-10,20,-11,19,-13,18,-15,17,-16,17,-17,16,-18,16,-19,16,-19,15,-20,15,-21,14,-21,14,-22,15,-22,15,-22,16,-22,16,-22,17,-21,17,-21,18,-20,19,-20,20,-19,21,-19,21,-19,22,-18,23,-19,25]",1,person_udp_30hz,-64,7,1747603041.525008
"[100,-64,5,0,11,-25,9,-23,8,-22,7,-21,6,-19,5,-18,4,-18,3,-17,3,-16,2,-16,2,-14,2,-13,2,-12,2,-12,2,-11,2,-10,3,-9,3,-9,3,-8,3,-7,4,-6,5,-5,5,-5,5,-4,5,-4,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6,6,-22,8,-21,10,-21,11,-20,13,-20,14,-19,15,-19,16,-19,16,-18,17,-18,18,-18,18,-18,19,-18,19,-19,19,-19,18,-19,18,-20,18,-21,18,-21,17,-22,16,-23,16,-24,15,-24,14,-24,15,-27,15,-29]",1,person_udp_30hz,-64,7,1747603041.570283
"[100,-64,5,0,-11,25,-9,23,-8,21,-7,20,-7,19,-6,18,-5,17,-4,16,-4,15,-3,14,-3,14,-3,13,-3,12,-3,11,-3,10,-3,9,-3,9,-4,8,-4,8,-5,7,-5,5,-5,4,-6,4,-6,3,-7,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,-5,21,-7,21,-9,21,-11,20,-12,20,-13,20,-14,20,-15,19,-16,19,-17,19,-17,19,-18,19,-18,19,-18,20,-19,20,-19,20,-18,20,-18,21,-18,22,-17,22,-16,23,-16,24,-15,24,-14,25,-14,27,-14,29]",1,person_udp_30hz,-64,7,1747603041.6393569
"[100,-64,5,0,18,-19,15,-18,14,-17,13,-17,12,-16,11,-16,10,-15,9,-14,8,-14,8,-13,7,-12,7,-12,6,-11,6,-10,6,-10,6,-9,6,-8,6,-8,6,-7,6,-6,6,-5,6,-4,6,-3,6,-2,6,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,12,-19,13,-18,15,-17,16,-16,18,-15,19,-14,19,-13,20,-13,21,-12,21,-11,22,-11,22,-11,23,-11,23,-11,23,-11,23,-12,23,-12,23,-13,23,-14,23,-14,22,-15,22,-16,21,-17,21,-18,22,-19,22,-21]",1,person_udp_30hz,-63,7,1747603041.690071
"[100,-64,5,0,-22,17,-20,16,-18,15,-16,14,-15,13,-14,13,-13,13,-12,12,-11,12,-10,11,-9,10,-9,10,-9,9,-8,8,-8,7,-8,7,-8,6,-7,5,-7,4,-8,3,-8,3,-8,1,-8,0,-7,0,-7,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,-15,17,-16,16,-18,15,-19,14,-21,12,-21,11,-22,11,-23,10,-24,10,-25,9,-25,8,-25,8,-26,8,-26,9,-26,9,-26,10,-26,10,-26,11,-26,11,-26,12,-26,13,-26,14,-25,15,-25,16,-26,17,-26,18]",1,person_udp_30hz,-64,7,1747603041.723447
"[100,-64,5,0,-9,27,-8,25,-6,23,-6,22,-5,21,-4,19,-3,18,-3,17,-2,17,-2,16,-2,15,-2,13,-2,13,-2,12,-2,12,-3,10,-3,10,-3,9,-4,8,-4,7,-5,6,-5,6,-6,5,-6,4,-6,4,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,6,-3,23,-5,23,-7,23,-9,22,-11,22,-12,22,-13,22,-14,21,-15,21,-16,21,-16,21,-17,22,-17,22,-17,22,-18,23,-17,23,-17,23,-17,24,-16,24,-16,25,-15,26,-14,26,-13,27,-13,28,-12,30,-12,32]",1,person_udp_30hz,-64,7,1747603041.7811918
"[100,-64,5,0,-16,-25,-15,-22,-14,-20,-14,-19,-13,-18,-13,-16,-13,-15,-12,-13,-11,-13,-11,-12,-11,-11,-10,-10,-9,-9,-8,-9,-8,-9,-7,-9,-6,-9,-5,-9,-4,-9,-3,-8,-3,-8,-2,-7,-1,-7,0,-7,1,-6,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-4,-17,-17,-15,-18,-14,-20,-13,-21,-11,-22,-10,-23,-10,-24,-9,-24,-8,-25,-7,-25,-6,-26,-6,-27,-6,-27,-6,-27,-7,-27,-7,-27,-8,-27,-8,-28,-9,-28,-10,-28,-11,-27,-12,-27,-13,-28,-13,-28,-15,-29,-16,-29]",1,person_udp_30hz,-64,7,1747603041.956477
"[100,-64,5,0,-28,3,-26,4,-23,4,-22,4,-21,5,-19,5,-18,5,-16,5,-15,5,-14,5,-14,5,-14,4,-13,4,-12,4,-11,3,-10,2,-9,2,-9,1,-8,0,-8,0,-8,-1,-8,-2,-7,-2,-6,-3,-6,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,-23,5,-23,4,-24,2,-24,0,-24,-2,-25,-3,-25,-3,-25,-4,-25,-5,-25,-6,-25,-7,-26,-7,-26,-7,-27,-7,-27,-7,-27,-7,-27,-6,-28,-6,-29,-5,-29,-4,-29,-3,-29,-2,-29,-1,-30,0,-31,1,-33,1]",1,person_udp_30hz,-64,7,1747603041.999451
"[100,-64,5,0,-3,28,-2,25,-2,23,-1,22,0,20,0,19,0,17,0,17,1,16,1,15,1,14,1,13,0,12,0,12,0,11,0,10,-1,10,-2,9,-2,9,-3,8,-3,7,-4,6,-5,5,-5,5,-6,4,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,22,1,22,-2,22,-3,23,-5,23,-6,23,-7,23,-8,23,-10,23,-10,23,-11,23,-11,23,-12,24,-12,24,-12,24,-12,25,-12,25,-11,25,-11,26,-10,26,-9,27,-8,27,-8,27,-7,28,-7,30,-6,32]",1,person_udp_30hz,-64,7,1747603042.1484091
"[100,-64,5,0,-25,-15,-23,-13,-21,-11,-20,-10,-20,-9,-19,-8,-18,-7,-17,-7,-16,-6,-15,-6,-15,-5,-14,-5,-12,-5,-11,-4,-11,-4,-10,-5,-9,-5,-8,-5,-8,-6,-7,-6,-6,-6,-6,-6,-5,-6,-3,-7,-2,-7,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-3,-22,-10,-21,-11,-20,-13,-19,-15,-18,-16,-18,-17,-18,-18,-17,-19,-16,-19,-16,-20,-16,-21,-16,-22,-16,-22,-16,-22,-17,-22,-18,-22,-18,-22,-19,-22,-20,-21,-21,-20,-22,-20,-22,-19,-22,-19,-23,-19,-25,-19,-26,-20]",1,person_udp_30hz,-64,7,1747603042.195252
"[100,-64,5,0,17,-22,15,-20,13,-19,11,-18,11,-18,10,-17,9,-16,8,-15,6,-15,6,-14,6,-14,5,-13,5,-12,5,-11,5,-10,5,-9,5,-8,5,-8,5,-7,5,-6,5,-5,5,-4,5,-3,5,-3,6,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,10,-20,12,-20,14,-19,15,-18,16,-17,17,-16,19,-15,20,-15,20,-14,20,-14,21,-14,21,-14,22,-14,22,-15,23,-15,23,-15,22,-15,22,-16,22,-17,22,-17,22,-18,21,-19,20,-19,20,-21,20,-23,21,-25]",1,person_udp_30hz,-64,7,1747603042.261346
"[100,-64,5,0,-15,22,-13,20,-11,19,-10,18,-9,17,-8,16,-7,16,-6,15,-6,15,-5,14,-5,13,-5,12,-4,11,-4,10,-4,9,-5,9,-5,8,-5,8,-5,6,-5,6,-6,5,-6,4,-6,3,-6,3,-7,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5,-9,20,-11,19,-13,18,-15,17,-16,17,-16,16,-18,16,-18,15,-19,15,-19,15,-20,15,-21,15,-21,15,-21,15,-21,15,-21,15,-21,16,-21,17,-21,17,-20,18,-20,19,-19,20,-18,21,-18,22,-19,24,-19,25]",1,person_udp_30hz,-64,7,1747603042.298623
"[100,-64,5,0,-32,-1,-29,0,-27,0,-25,0,-24,1,-22,2,-21,2,-19,3,-18,3,-17,3,-17,2,-15,2,-15,2,-14,2,-13,1,-12,1,-11,0,-10,0,-10,-1,-9,-2,-9,-3,-9,-3,-8,-4,-6,-4,-6,-5,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,1,-25,3,-25,1,-26,-1,-26,-3,-26,-5,-26,-6,-26,-7,-26,-8,-26,-9,-26,-10,-26,-12,-27,-12,-28,-12,-28,-12,-28,-12,-29,-11,-29,-11,-29,-10,-30,-10,-31,-9,-31,-8,-31,-7,-31,-6,-32,-5,-34,-4,-36,-4]",1,person_udp_30hz,-64,7,1747603042.349511
"[100,-64,5,0,-19,-22,-18,-19,-17,-17,-16,-16,-16,-14,-15,-13,-15,-12,-14,-11,-13,-10,-13,-10,-12,-9,-12,-8,-11,-8,-10,-8,-9,-8,-8,-8,-8,-8,-7,-8,-6,-8,-5,-7,-4,-7,-3,-7,-3,-7,-1,-7,0,-7,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-4,-18,-15,-16,-17,-15,-19,-14,-20,-13,-21,-12,-22,-12,-22,-11,-23,-10,-24,-10,-24,-10,-24,-9,-25,-10,-25,-10,-26,-10,-26,-10,-26,-10,-26,-11,-26,-12,-26,-13,-25,-14,-25,-15,-25,-16,-24,-17,-24,-19,-25,-20,-27]",1,person_udp_30hz,-64,7,1747603042.415466
"[100,-64,5,0,25,10,23,9,22,8,21,7,20,6,19,5,18,4,17,3,15,3,14,2,14,2,13,2,12,2,11,2,10,2,9,3,9,3,7,4,7,4,7,4,6,4,6,4,4,5,3,5,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,4,21,6,21,8,21,10,20,11,20,13,20,14,19,15,19,15,19,16,19,17,19,18,19,18,19,18,20,18,20,18,20,18,21,17,22,17,23,16,24,16,24,15,25,15,26,14,27,14,29,14]",1,person_udp_30hz,-64,7,1747603042.468974
"[100,-64,5,0,-25,15,-22,14,-20,13,-19,13,-17,13,-16,12,-15,12,-13,12,-12,11,-12,10,-11,10,-11,9,-10,8,-9,8,-9,7,-9,6,-8,5,-8,5,-8,4,-8,3,-8,2,-8,1,-7,0,-7,0,-6,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,4,-17,16,-18,15,-20,13,-21,11,-22,10,-23,9,-23,8,-24,8,-24,7,-25,6,-26,6,-27,6,-27,6,-28,6,-28,6,-28,6,-28,6,-28,7,-28,8,-27,9,-27,10,-27,11,-27,12,-27,13,-28,14,-29,16]",1,person_udp_30hz,-64,7,1747603042.524259
"[100,-64,5,0,-24,13,-21,12,-19,12,-18,12,-16,12,-15,11,-14,11,-13,10,-12,10,-11,10,-11,9,-10,8,-10,8,-9,7,-8,6,-8,6,-8,5,-8,4,-8,3,-8,3,-8,2,-8,1,-7,0,-7,0,-6,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,-17,14,-18,13,-20,12,-21,10,-22,9,-22,8,-23,7,-23,6,-24,6,-24,5,-25,4,-25,4,-26,4,-26,4,-26,5,-26,5,-27,6,-26,6,-26,7,-26,8,-26,9,-26,10,-26,11,-27,11,-27,12,-28,14]",1,person_udp_30hz,-64,7,1747603042.5588632
"[100,-64,5,0,-26,-9,-24,-8,-22,-7,-21,-6,-20,-5,-19,-5,-18,-4,-17,-4,-16,-3,-15,-2,-15,-2,-14,-2,-13,-2,-12,-3,-11,-3,-10,-3,-9,-3,-8,-4,-7,-4,-7,-4,-7,-4,-6,-5,-5,-6,-4,-6,-3,-6,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,-22,-3,-22,-5,-22,-7,-22,-9,-21,-10,-21,-11,-21,-12,-21,-13,-21,-14,-21,-15,-20,-16,-21,-16,-21,-16,-21,-17,-21,-17,-22,-17,-22,-16,-23,-16,-24,-16,-24,-15,-25,-15,-25,-14,-25,-13,-26,-13,-28,-12,-29,-12]",1,person_udp_30hz,-64,7,1747603042.618458
"[100,-64,5,0,-28,7,-25,7,-23,8,-21,8,-20,8,-19,8,-17,8,-16,8,-14,7,-14,7,-14,6,-13,6,-12,6,-11,5,-10,5,-10,4,-9,3,-9,3,-9,2,-9,1,-9,0,-8,-1,-8,-1,-7,-2,-6,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,-21,9,-22,7,-23,5,-24,4,-24,2,-24,1,-25,1,-25,0,-25,-1,-26,-2,-26,-3,-27,-3,-27,-3,-27,-3,-28,-3,-28,-3,-28,-2,-28,-1,-29,-1,-29,1,-30,2,-29,3,-29,3,-30,4,-31,5,-32,6]",1,person_udp_30hz,-64,7,1747603042.680691
"[100,-64,5,0,-8,25,-7,23,-6,21,-5,20,-4,19,-3,18,-3,17,-2,16,-1,15,-1,14,-1,13,-1,13,-1,12,-1,11,-2,10,-2,9,-2,9,-3,9,-3,8,-4,7,-4,6,-5,5,-5,5,-5,4,-6,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,-2,22,-4,21,-6,21,-8,21,-10,21,-11,21,-12,20,-13,20,-14,20,-14,20,-15,20,-15,20,-15,21,-16,21,-16,21,-16,21,-16,22,-15,22,-15,23,-14,23,-13,24,-13,24,-12,25,-11,26,-11,28,-10,29]",1,person_udp_30hz,-64,7,1747603042.73825
"[100,-64,5,0,1,-27,0,-24,0,-23,0,-22,-1,-20,-1,-19,-2,-18,-2,-17,-2,-16,-2,-15,-2,-14,-2,-13,-2,-12,-2,-12,-1,-11,-1,-11,0,-10,0,-10,1,-9,1,-9,2,-8,2,-7,3,-6,3,-6,4,-5,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-6,-3,-22,-2,-23,0,-23,2,-23,3,-22,4,-23,5,-23,6,-23,7,-23,8,-23,9,-23,10,-23,10,-24,10,-25,10,-25,10,-25,9,-25,9,-25,8,-26,8,-26,7,-27,6,-28,5,-28,5,-29,4,-30,4,-31]",1,person_udp_30hz,-64,7,1747603042.792369
"[100,-64,5,0,13,-25,11,-23,10,-22,9,-21,8,-20,7,-19,6,-18,5,-17,4,-16,4,-15,3,-15,3,-14,3,-13,3,-12,3,-11,4,-10,4,-10,4,-9,5,-8,5,-7,5,-6,5,-5,5,-4,6,-4,6,-3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6,6,-22,8,-21,10,-21,12,-20,13,-20,15,-19,16,-19,17,-18,18,-18,18,-17,19,-18,19,-18,20,-18,20,-18,20,-18,20,-19,19,-19,20,-20,19,-21,19,-21,18,-22,18,-22,17,-23,16,-25,16,-26,17,-28]",1,person_udp_30hz,-64,7,1747603042.828326
"[100,-64,5,0,-23,-11,-21,-10,-19,-9,-18,-8,-18,-7,-17,-6,-16,-5,-15,-4,-14,-4,-14,-4,-13,-4,-13,-3,-11,-3,-10,-3,-10,-4,-9,-4,-8,-4,-8,-4,-7,-5,-7,-5,-6,-5,-5,-5,-5,-5,-3,-5,-3,-5,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-2,-20,-6,-20,-8,-19,-10,-19,-12,-18,-13,-18,-14,-17,-15,-17,-16,-17,-17,-16,-18,-16,-18,-16,-19,-16,-19,-17,-19,-17,-19,-17,-19,-18,-18,-18,-18,-19,-18,-20,-17,-20,-16,-21,-16,-21,-16,-22,-15,-24,-15,-25,-15]",1,person_udp_30hz,-64,7,1747603042.866583
"[100,-64,5,0,29,-5,26,-5,24,-6,22,-5,21,-6,20,-6,18,-6,16,-6,15,-7,14,-6,14,-6,13,-6,12,-5,11,-5,11,-4,10,-3,9,-3,8,-2,8,-1,8,-1,7,0,7,1,7,2,5,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-2,23,-8,24,-6,24,-4,25,-2,26,0,26,1,26,2,26,3,26,4,26,5,27,5,27,6,27,6,28,6,28,6,28,6,29,5,29,4,30,3,30,3,30,2,30,1,30,0,31,-1,32,-2,33,-3]",1,person_udp_30hz,-64,7,1747603042.918257
